ID;Datum_narozeni;Pohlavi;ID_matka;ID_otec;0

1;1.8.1925;pes;-1;-1;18

2;1.3.1928;fena;-1;-1;14

3;4.6.1929;fena;2;1;15

4;4.6.1929;pes;2;1;9

5;4.6.1929;pes;2;1;0

26;1.1.1930;pes;-1;-1;22

27;1.1.1930;fena;-1;-1;0

30;1.1.1930;pes;-1;-1;2

31;1.1.1930;fena;-1;-1;10

51;1.1.1930;pes;-1;-1;28

6;19.3.1930;pes;2;1;36

7;19.3.1930;fena;2;1;0

115;20.3.1930;fena;-1;-1;6

8;7.2.1931;pes;2;1;0

9;7.2.1931;fena;2;1;13

10;7.2.1931;pes;2;1;0

11;2.8.1931;pes;2;1;0

12;2.8.1931;pes;2;1;0

13;2.8.1931;fena;2;1;11

105;1.1.1932;pes;-1;-1;0

14;22.1.1932;pes;2;1;0

15;22.1.1932;pes;2;1;0

16;22.1.1932;pes;2;1;0

120;18.8.1933;pes;-1;-1;13

127;1.1.1934;fena;-1;-1;2

21;4.2.1934;pes;20;4;0

22;4.2.1934;pes;20;4;0

23;4.2.1934;fena;20;4;6

24;4.2.1934;fena;20;4;11

25;24.3.1934;fena;3;6;25

278;12.4.1934;pes;125;186;0

279;12.4.1934;pes;125;186;2

280;12.4.1934;pes;125;186;12

281;12.4.1934;pes;125;186;0

282;12.4.1934;fena;125;186;0

19;28.4.1934;fena;3;1;0

20;28.4.1934;fena;3;1;4

18;28.4.1934;pes;3;1;0

17;28.4.1934;fena;3;1;10

131;26.8.1934;pes;-1;-1;3

28;22.9.1934;fena;9;26;0

29;22.9.1934;fena;9;26;1

62;1.1.1935;fena;-1;-1;6

67;1.1.1935;pes;-1;-1;0

167;1.1.1935;pes;-1;-1;0

168;1.1.1935;fena;-1;-1;0

169;1.1.1935;pes;-1;-1;0

170;1.1.1935;fena;-1;-1;5

32;16.4.1935;pes;31;6;0

33;16.4.1935;pes;31;6;0

34;16.4.1935;pes;31;6;0

35;16.4.1935;pes;31;6;0

36;16.4.1935;fena;31;6;0

37;16.4.1935;fena;31;6;0

38;16.4.1935;fena;31;6;0

72;16.4.1935;fena;31;6;0

68;15.5.1935;pes;-1;-1;0

