ID;Datum_narozeni;Pohlavi;ID_matka;ID_otec
1;1.8.1925;pes;-1;-1
2;1.3.1928;fena;-1;-1
3;4.6.1929;fena;2;1
4;4.6.1929;pes;2;1
5;4.6.1929;pes;2;1
26;1.1.1930;pes;-1;-1
27;1.1.1930;fena;-1;-1
30;1.1.1930;pes;-1;-1
31;1.1.1930;fena;-1;-1
51;1.1.1930;pes;-1;-1
6;19.3.1930;pes;2;1
7;19.3.1930;fena;2;1
115;20.3.1930;fena;-1;-1
8;7.2.1931;pes;2;1
9;7.2.1931;fena;2;1
10;7.2.1931;pes;2;1
11;2.8.1931;pes;2;1
12;2.8.1931;pes;2;1
13;2.8.1931;fena;2;1
105;1.1.1932;pes;-1;-1
14;22.1.1932;pes;2;1
15;22.1.1932;pes;2;1
16;22.1.1932;pes;2;1
120;18.8.1933;pes;-1;-1
127;1.1.1934;fena;-1;-1
21;4.2.1934;pes;20;4
22;4.2.1934;pes;20;4
23;4.2.1934;fena;20;4
24;4.2.1934;fena;20;4
25;24.3.1934;fena;3;6
278;12.4.1934;pes;125;186
279;12.4.1934;pes;125;186
280;12.4.1934;pes;125;186
281;12.4.1934;pes;125;186
282;12.4.1934;fena;125;186
19;28.4.1934;fena;3;1
20;28.4.1934;fena;3;1
18;28.4.1934;pes;3;1
17;28.4.1934;fena;3;1
131;26.8.1934;pes;-1;-1
28;22.9.1934;fena;9;26
29;22.9.1934;fena;9;26
62;1.1.1935;fena;-1;-1
67;1.1.1935;pes;-1;-1
167;1.1.1935;pes;-1;-1
168;1.1.1935;fena;-1;-1
169;1.1.1935;pes;-1;-1
170;1.1.1935;fena;-1;-1
32;16.4.1935;pes;31;6
33;16.4.1935;pes;31;6
34;16.4.1935;pes;31;6
35;16.4.1935;pes;31;6
36;16.4.1935;fena;31;6
37;16.4.1935;fena;31;6
38;16.4.1935;fena;31;6
72;16.4.1935;fena;31;6
68;15.5.1935;pes;-1;-1
132;24.5.1935;fena;-1;-1
133;24.5.1935;fena;-1;-1
57;6.6.1935;fena;9;6
58;6.6.1935;fena;9;6
59;6.6.1935;pes;9;6
60;6.6.1935;pes;9;6
61;6.6.1935;fena;9;6
39;27.6.1935;pes;3;6
40;27.6.1935;pes;3;6
41;27.6.1935;pes;3;6
42;27.6.1935;fena;3;6
43;27.6.1935;fena;3;6
44;27.6.1935;fena;3;6
45;30.6.1935;fena;13;4
46;30.6.1935;fena;13;4
47;30.6.1935;fena;13;4
48;30.6.1935;pes;13;4
49;30.6.1935;pes;13;4
119;1.8.1935;pes;-1;-1
166;8.8.1935;pes;-1;-1
52;21.8.1935;fena;24;26
53;21.8.1935;pes;24;26
54;21.8.1935;pes;24;26
55;21.8.1935;pes;24;26
56;21.8.1935;pes;24;26
134;11.9.1935;fena;-1;-1
91;30.10.1935;pes;-1;-1
92;1.1.1936;pes;-1;-1
93;1.1.1936;pes;-1;-1
94;1.1.1936;pes;31;30
95;1.1.1936;fena;31;30
96;1.1.1936;fena;-1;-1
97;1.1.1936;fena;-1;-1
116;1.1.1936;fena;-1;-1
117;1.1.1936;fena;-1;-1
129;1.1.1936;pes;-1;-1
135;1.1.1936;fena;-1;-1
136;1.1.1936;fena;-1;-1
163;1.1.1936;fena;-1;-1
178;1.1.1936;pes;-1;-1
63;25.2.1936;pes;3;6
64;25.2.1936;pes;3;6
65;25.2.1936;pes;3;6
66;25.2.1936;fena;3;6
76;28.2.1936;pes;9;6
171;9.3.1936;pes;-1;-1
130;10.3.1936;pes;127;-1
162;10.3.1936;fena;127;-1
69;31.3.1936;pes;24;26
70;31.3.1936;pes;24;26
71;31.3.1936;pes;24;26
73;31.3.1936;fena;24;26
74;31.3.1936;fena;24;26
75;31.3.1936;fena;24;26
77;31.3.1936;pes;25;26
78;31.3.1936;pes;25;26
79;31.3.1936;pes;25;26
80;31.3.1936;pes;25;26
81;31.3.1936;pes;25;26
82;31.3.1936;pes;25;26
83;31.3.1936;pes;25;26
84;31.3.1936;fena;25;26
85;31.3.1936;fena;25;26
98;15.4.1936;pes;95;93
99;15.4.1936;fena;95;93
100;15.4.1936;fena;95;93
86;21.4.1936;pes;62;51
87;21.4.1936;pes;62;51
88;21.4.1936;pes;62;51
89;21.4.1936;pes;62;51
90;21.4.1936;fena;62;51
114;29.4.1936;pes;-1;-1
165;2.6.1936;fena;-1;-1
118;6.6.1936;pes;-1;-1
101;31.7.1936;pes;96;92
102;31.7.1936;pes;96;92
103;31.7.1936;pes;96;92
104;31.7.1936;fena;96;92
110;22.8.1936;pes;9;6
111;22.8.1936;fena;9;6
112;22.8.1936;fena;9;6
113;22.8.1936;fena;9;6
179;22.8.1936;fena;9;6
106;29.8.1936;pes;17;51
107;29.8.1936;pes;17;51
108;29.8.1936;fena;17;51
109;29.8.1936;fena;17;51
121;5.10.1936;pes;115;114
122;5.10.1936;fena;115;114
123;5.10.1936;fena;115;114
124;5.10.1936;fena;115;114
125;5.10.1936;fena;115;114
126;5.10.1936;fena;115;114
128;31.10.1936;fena;-1;-1
161;25.12.1936;fena;-1;-1
164;25.12.1936;fena;-1;-1
143;14.2.1937;fena;133;131
145;14.2.1937;fena;133;131
152;10.4.1937;pes;134;51
153;10.4.1937;pes;134;51
154;10.4.1937;fena;134;51
155;10.4.1937;fena;134;51
137;12.4.1937;pes;17;6
138;12.4.1937;pes;17;6
139;12.4.1937;fena;17;6
140;12.4.1937;fena;17;6
141;12.4.1937;fena;17;6
142;12.4.1937;fena;17;6
144;12.4.1937;pes;133;131
146;29.4.1937;pes;13;51
147;29.4.1937;pes;13;51
148;29.4.1937;fena;13;51
149;29.4.1937;fena;13;51
150;29.4.1937;fena;13;51
151;29.4.1937;fena;13;51
156;14.5.1937;fena;57;114
157;14.5.1937;fena;57;114
158;14.5.1937;fena;57;114
159;14.5.1937;fena;57;114
160;14.5.1937;fena;57;114
172;31.8.1937;pes;43;171
173;31.8.1937;fena;43;171
174;31.8.1937;fena;43;171
175;31.8.1937;pes;43;171
176;31.8.1937;fena;43;171
177;31.8.1937;fena;43;171
180;11.9.1937;pes;61;166
181;11.9.1937;pes;61;166
182;11.9.1937;pes;61;166
183;11.9.1937;pes;61;166
184;11.9.1937;fena;61;166
185;11.9.1937;fena;61;166
186;15.9.1937;pes;58;114
187;15.9.1937;pes;58;114
188;15.9.1937;pes;58;114
189;15.9.1937;fena;58;114
190;15.9.1937;fena;58;114
277;1.10.1937;pes;96;93
246;23.10.1937;pes;124;129
247;23.10.1937;pes;124;129
248;23.10.1937;pes;124;129
249;23.10.1937;pes;124;129
250;23.10.1937;pes;124;129
251;23.10.1937;fena;124;129
451;1.1.1938;fena;124;129
209;5.1.1938;pes;25;171
